Index,targetWord,Sentence A,Sentence B,Answer
0,Asperger,"Autism spectrum disorders (ASD) are a heterogeneous group of disorders encompassing Autistic Disorder, Asperger's Disorder, Semantic-Pragmatic disorder and Pervasive Developmental Disorder Not Otherwise Specified. Auditory integration therapy (AIT) was developed as a technique for improving abnormal sound sensitivity in individuals with behavioural disorders including autism. Other sound therapies bearing similarities to AIT include the Tomatis Method and Samonas Sound Therapy.","Although a number of advanced theory of mind tasks have been developed, there is a dearth of information on whether performances on different tasks are associated. The present study examined the performance of 21 children and adolescents with diagnoses of Asperger syndrome (AS) and 20 typically developing controls on three advanced theory of mind tasks: The Eyes Task, the Strange Stories, and the Stories from Everyday Life. The participants in the clinical group demonstrated lower performance than the controls on all the three tasks. The pattern of findings, however, indicates that these tasks may share different information-processing requirements in addition to tapping different mentalizing abilities.","###Task: Identify semantic drift in a target word by comparing its usage in two sentences from different time periods.

        ###Instructions:
        You will be given a target word and two sentences containing that word, each from a different timestamp (e.g., Sentence A from 2000 and Sentence B from 2020).
        Analyze the context and meaning of the target word in each sentence.
        Determine if the target word has undergone a significant change in meaning or connotation between the two timestamps.
        Provide a label indicating whether semantic drift has occurred: ""Changed"" if the meaning has significantly shifted, or ""Unchanged"" if the meaning remains similar.
        Briefly explain your reasoning for the label.

        ###Data to be labelled:
        Target word: Asperger
        Sentence A: Autism spectrum disorders (ASD) are a heterogeneous group of disorders encompassing Autistic Disorder, Asperger's Disorder, Semantic-Pragmatic disorder and Pervasive Developmental Disorder Not Otherwise Specified. Auditory integration therapy (AIT) was developed as a technique for improving abnormal sound sensitivity in individuals with behavioural disorders including autism. Other sound therapies bearing similarities to AIT include the Tomatis Method and Samonas Sound Therapy.
        Sentence B: Although a number of advanced theory of mind tasks have been developed, there is a dearth of information on whether performances on different tasks are associated. The present study examined the performance of 21 children and adolescents with diagnoses of Asperger syndrome (AS) and 20 typically developing controls on three advanced theory of mind tasks: The Eyes Task, the Strange Stories, and the Stories from Everyday Life. The participants in the clinical group demonstrated lower performance than the controls on all the three tasks. The pattern of findings, however, indicates that these tasks may share different information-processing requirements in addition to tapping different mentalizing abilities.

        ###Answer
         Label: Changed
        Explanation: The target word ""Asperger"" has undergone semantic drift between the two sentences. In Sentence A, the word ""Asperger's Disorder"" refers to a specific medical condition within the autism spectrum. In Sentence B, the word ""Asperger syndrome"" (a different form of the word) is used to refer to a group of people with a particular diagnosis. The word has shifted from a medical term to a demographic label, indicating a change in meaning.

