Index,targetWord,Sentence A,Sentence B,Answer
0,Deafness,"This study is concerned with the mean hearing gain in 50 cases of sudden deafness and 40 cases of Menière's disease treated with different drugs and treated with Papaverin and low molecular weight dextran. The treatment of sudden deafness with Papaverin and low molecular dextran was more effective than different drugs. In cases of Menière's disease the treatment with different drugs was not effective, but Papaverin and low molecular dextran was significantly successful. Finally, it is concluded that treatment according to Spoendlin (1969) with Papaverin and low molecular dextran is superior to different drugs.","In mammals, the cochlear sensory epithelium becomes quiescent early during development. After the first postnatal week, there is no cell replacement or proliferation, and severe damage leads to permanent deafness. Supporting cells' trans-differentiation has been suggested as a way to regenerate cochlear hair cells after damage. However, they are also needed for proper functionality. Cdkn1b (p27","- Label: Unchanged
- Reason: In both Text A and Text B, the term ""deafness"" refers to the condition of significant hearing loss. Text A discusses clinical treatments for instances of sudden deafness and sets a medical context for attempting to address or remedy the hearing loss. Text B also focuses on the biologic aspect, particularly the permanence of deafness due to inability of cochlear hair cells to regenerate after damage in mammals, underscoring the condition's onset and permanency from a biological standpoint. In both examples, despite the different focuses — one on treatment and the other on causation and biological limitations — ""deafness"" consistently denotes a significant and typically irreversible impairment of hearing, maintaining a consistent medical and health-related context across both time periods."
1,Deafness,"Congenital internal auditory canal stenosis is a rare cause of sensorineural hearing loss in children. A retrospective analysis including clinical manifestation and radiological findings was made for seven patients who were diagnosed with congenital internal auditory canal stenosis from 1996 to 2002. Chief presenting symptoms were hearing loss, facial nerve palsy, dizziness, and tinnitus. Hearing loss including deafness was found in five cases, vestibular function loss in four cases, and profound functional loss of facial nerve in two cases. In all cases, the diameter of the internal auditory canal was less than 2 mm on high-resolution temporal bone computed tomography (CT) scan. Two cases revealed bilateral internal auditory canal stenosis, and others were unilaterally involved cases. Congenital internal auditory canal stenosis can be an important cause of sensorineural hearing loss, facial nerve palsy, and vestibular dysfunction. High resolution temporal bone CT scan and magnetic resonance (MR) imaging were important tools for diagnosis.","The objectives of this study were to investigate the effects of place of stimulation on cortical auditory evoked potentials in relation to speech performance in cochlear implant listeners. It was designed that cortical responses were recorded for single-electrode bursts at apical, medial and basal portions of the electrode array with varying inter-stimulus intervals ranging from 300 ms to 5 s. Latency and amplitude of N1 and P2 peaks were analysed in relation to monosyllabic word scores. The study sample was 44 adult cochlear implant users ranging in age from 28 to 86 years. N1, P2 and N1-P2 amplitudes declined significantly from apical to basal electrodes. The most robust and pronounced responses were recorded for slower stimulation rates (5 s). Speech recognition correlated positively with N1 and N1-P2 amplitudes at the medial electrode. P2 latency showed a significant negative correlation with speech performance at the apical electrode. At last, cortical responses varied significantly depending on the stimulation site and rate. We can objectively quantify speech performance with the N1, N1-P2 amplitude and P2 latency in cochlear implant users. Deafness-related neural degeneration persists even after the cochlear implantation and is more distinct at the base than the apex of the cochlea.","### Label: Unchanged

### Reason:
The usage and context of the target word ""deafness"" in both Text A and Text B relate directly to its core meaning, which is the loss of hearing. In Text A, deafness is discussed as a symptom associated with congenital internal auditory canal stenosis, emphasizing it as part of a complex auditory condition typically involving sensorineural hearing loss. Similarly, in Text B, the focus on deafness involves evaluating auditory responses in cochlear implant users, which are again directly related to hearing impairment and its treatment. Thus, despite the advances in medical technology and diagnostic approaches reflected between the texts, the fundamental meaning of ""deafness"" as a hearing disorder remains consistent over time, suggesting that there is no significant semantic drift."
2,Deafness,"A 28-year-old woman with inoperable gastric carcinoma was given continuous infusion of 5-fluorouracil (5-FU) and low-dose cisplatin (CDDP) for 4 weeks while receiving intravenous hyperalimentation (IVH). Eleven days after her last treatment, she developed acute diplopia, deafness and gait ataxia, followed by severe confusion. She became markedly acidotic and hypotensive with a systolic blood pressure of 60 mmHg, necessitating intubation, dopamine treatment and hemodialysis for 7 h. She was also given thiamine. Thereafter, her blood pressure stabilized, the acidosis improved, and her deafness, diplopia, and confusion were resolved. This case suggests that FP (5-FU/CDDP) therapy toxicity, manifested as acute metabolic acidosis and Wernicke's encephalopathy, may be associated with IVH and thiamine deficiency.","It is well known that the post-natal loss of sensory input in one modality can result in crossmodal reorganization of the deprived cortical areas, but deafness fails to induce crossmodal effects in cat primary auditory cortex (A1). Because the core auditory regions (A1, and anterior auditory field AAF) are arranged as separate, parallel processors, it cannot be assumed that early-deafness affects one in the same manner as the other. The present experiments were conducted to determine if crossmodal effects occur in the anterior auditory field (AAF). Using mature cats (n = 3), ototoxically deafened postnatally, single-unit recordings were made in the gyral and sulcal portions of the AAF. In contrast to the auditory responsivity found in the hearing controls, none of the neurons in early-deafened AAF were activated by auditory stimulation. Instead, the majority (78%) were activated by somatosensory cues, while fewer were driven by visual stimulation (44%; values include unisensory and bimodal neurons). Somatosensory responses could be activated from all locations on the body surface but most often occurred on the head, were often bilateral (e.g., occupied portions of both sides of the body), and were primarily excited by low-threshold hair receptors. Visual receptive fields were large, collectively represented the contralateral visual field, and exhibited conventional response properties such as movement direction and velocity preferences. These results indicate that, following post-natal deafness, both somatosensory and visual modalities participate in crossmodal reinnervation of the AAF, consistent with the growing literature that documents deafness-induced crossmodal plasticity outside A1.","- Label: Changed

- Reason: In Text A, the term ""deafness"" is used to describe a temporary loss of hearing as a symptom or complication arising from medical treatments for another condition (gastric carcinoma, in this case). Deafness is depicted as reversible, associated with acute metabolic acidosis and possibly linked to medically induced issues such as toxicity from treatments. Therefore, deafness appears in the context of a medical symptom that is treatable and potentially transient.

In contrast, Text B discusses ""deafness"" within a scientific study on sensory deprivation and neuroplasticity. The term primarily refers to permanent sensory loss, leading to experimental analysis of its effect on brain structure and function, specifically cross-modal reorganization in auditory cortical areas. This use highlights a more permanent, developmental and neuroscientific aspect of deafness, focusing on brain adaptation and the interaction between sensory modalities following the loss of hearing.

Thus, the shift from a temporary medical symptom context in Text A to a focus on permanent changes in brain function and sensory processing in Text B illustrates that the connotation and implications of ""deafness"" have evolved, reflecting a significant semantic drift over the discussed periods."
3,Deafness,"To evaluate the health care utilization of a nationally representative sample of U.S. deaf adults while accounting for the age at onset of deafness, an indicator of linguistic and sociocultural group affiliation.","Although 62 years have elapsed since the first report of hereditary deafness in a mouse strain, the molecular mechanism of hair cell mechanotransduction remains elusive. Three recent studies present crucial insights into the molecular crux of hair cell mechanotransduction machinery.","- Label: Changed

- Reason:
  The usage and context of the word ""deafness"" in Text A and Text B indicate a significant semantic drift. In Text A, ""deafness"" is used primarily with a sociocultural and healthcare perspective, focusing on the implications for deaf adults in terms of healthcare utilization and their community and identity aspects, particularly how they navigate society and access services. There is a significant emphasis on the condition as an aspect of identity and belonging to a linguistic or sociocultural group.

  On the other hand, Text B utilizes ""deafness"" in a strictly biological and genetic context, reflecting advancements in the scientific understanding of the physiological basis of the condition, particularly focusing on the mechanotransduction in hair cells, a critical component of hearing. This perspective is heavily rooted in genetic research and molecular biology, viewing deafness through the lens of mechanistic processes and potential areas for medical intervention.

  This shift from a socio-health-centric view to a detailed genetic and molecular perspective indicates a significant change in the connotations and discussions surrounding ""deafness,"" suggesting a broader, more multifaceted understanding of the term over time."
4,Deafness,"People with deep prelingual deafness cannot fluently use oral language as a basic mode of communication. Hearing impaired subjects elaborated their own mode of communication. Cochlear implants as a surgical mode of deafness treatment may create a new chance for prelingually deaf children to develop vocal speech. The aim of this study was to assess changes in interpersonal mode of communication in pre- and perilingually deaf children after cochlear implantation. It was observed, that cochlear implantation stimulates development of oral language. The possibility of hearing perception of oral language it is a chance for a child for fully participation in life of hearing societies.","Congenital cytomegalovirus (cCMV) infection is the most common congenital infection and the leading acquired cause of developmental disabilities and sensorineural deafness, yet a reliable assessment of the infection burden is lacking.","### Answer:
- Target word: Deafness
- Text A: Discusses deafness as a condition that affects communication, focusing on solutions like cochlear implants to improve speech and auditory capabilities in prelingually deaf children.
- Text B: Identifies deafness as a clinical outcome of congenital cytomegalovirus (cCMV) infection, emphasizing its role as a leading cause of sensorineural deafness related to developmental disabilities.
- Label: Unchanged

### Reason:
Both texts, despite discussing different aspects of 'deafness', retain the core meaning of the term as a significant hearing impairment. Text A addresses deafness in the context of communication barriers and improving life through medical interventions like cochlear implants. Text B approaches deafness as a medical condition resulting from infections that can lead to hearing loss. In both instances, 'deafness' consistently refers to the condition of substantial hearing impairment. The use of 'deafness' has not shifted significantly between the two texts, holding a steady clinical and functional implication associated with hearing loss. Thus, the term remains unchanged across different contexts over time."
5,Deafness,"Bacterial meningitis is a common cause of profound deafness and, hence, a common cause of deafness in published series of patients treated with a cochlear prosthesis. Labyrinthitis ossificans is a common finding in meningogenic labyrinthitis and has been considered a relative contraindication to cochlear implantation. In the present study, the numbers of remaining spiral ganglion cells in cases of meningogenic labyrinthitis were correlated with the severity of new bone formation within the inner ear. Six temporal bones in which profound sensorineural hearing loss occurred in life secondary to meningogenic labyrinthitis were studied by serial section light microscopy. Some degree of labyrinthitis ossificans was found in four of six. There was a moderately strong negative correlation between the number of years of total deafness and the percentage of normal of the remaining spiral ganglion cell count. There was a strong negative correlation between the degree of bony occlusion by labyrinthitis ossificans and the normality of the spiral ganglion cell count. The percentage of bony occlusion of the membranous labyrinth increased with the years of total deafness. The significance of these findings for cochlear implantation of individuals with meningogenic labyrinthitis is discussed.","At a time when deaf education teacher preparation programs are declining in number, little is known about their actual effectiveness. A phenomenological case study of a graduate-level comprehensive deaf education teacher preparation program at a midwestern university explored empowered and enabled learning of teacher candidates using the Missouri Department of Elementary and Secondary Education educator pillars: (a) commitment to the profession, (b) proficiency in practice, and (c) learning impact, all deemed critical to developing quality teachers. A strong connection was found between the program's comprehensive philosophy and its practice. Embracing diversity of d/Deafness and differentiated instruction were the most prevalent themes expressed by participants. Teacher candidates displayed outstanding commitment to the profession and high proficiency in practice. The findings suggest that additional consideration should be given to classroom and behavior management, teacher candidate workload, teaching beyond academics, and preparation for navigating the public school system.","### Answer:
- Target word: **Deafness**
- Label: **Changed**

### Reason:
In Text A, ""deafness"" is used in a clinical context describing its relation to bacterial meningitis, leading to profound sensorineural hearing loss, with a focus on the pathological changes in the ear (like labyrinthitis ossificans) and their implications for cochlear implantation. The emphasis is on the medical and biological aspects of deafness as a condition primarily defined by its physiological attributes and consequences.

In Text B, ""deafness"" is discussed within the educational and social framework, particularly in the context of deaf education teacher preparation programs. The text emphasizes a comprehensive philosophy towards teaching, recognizing the diversity of deafness (noted by the use of ""d/Deafness"") and the necessity for tailored educational strategies. This presents deafness not only as a medical condition but also as a cultural and communal identity that influences and shapes educational approaches.

The shift from a purely medical condition towards a condition with a significant cultural and educational dimension indicates a semantic drift in the meaning and connotation of the word ""deafness"" from 2000 to 2020."
6,Deafness,"Two-hundred and forty White children attending special schools for the deaf have been investigated by clinical,genetic and laboratory methods in order to determine determine the aetiology of their hearing disability of these, 36% had a genetic basis for their deafness, while in a further 34% an acquired lesion was incriminated. The most important determinants of acquired deafness were maternal rubella, neonatal hyperbilirubinaemia and meningo-encephalitis. The prevention of childhood deafness is primarily dependent upon recognition of the underlying causative factor.","While research has shown that children with single sided deafness have a lower quality of life and developmental outcomes compared to normal hearing peers, little is known about these domains in children with unilateral congenital conductive hearing loss due to aural atresia.","- Label: Unchanged
- Reason: In both Text A and Text B, the term ""deafness"" refers to the medical condition associated with the loss of hearing. Text A discusses the causes and genetic links to deafness, exploring acquired causes and prevention. Text B focuses on single-sided deafness and its impact on quality of life and development, but it continues to treat ""deafness"" as a hearing-related disability. Although the focus of research and specific contexts vary, the underlying meaning and connotation of ""deafness"" as a condition of impaired hearing remain consistent across both texts."
7,Deafness,"The familial long QT syndrome is a rare condition that may occur with or without deafness. Dextrocardia with complete situs inversus is a familial syndrome generally found in normal subjects with a high incidence of consanguinity among the parents. In this report we describe a Jerbian family with both disorders and with several cases of sudden death. Of 27 members of this family (3 generations) in whom ECG was performed, 15 had QT prolongation (QTc greater than 0.45). Four members (2 generations) had complete situs inversus, 3 of them also had ECG evidence of QT prolongation. The combined occurrence of these rare diseases within the same family has not been previously reported. It may be due to the high incidence of consanguinity and may raise the possibility that the loci responsible for the 2 conditions are closely related and located on the same chromosome. A more extensive study of the family is being carried out.","Genetic causes of hearing loss are highly heterogeneous and often ethnically specific. In recent years, a variety of next-generation sequencing (NGS) panels have been developed to target deafness-causative genes. Whole-exome sequencing (WES), on the other hand, was rarely used for genetic testing for deafness. In this study, we performed WES in 38 sporadic Chinese Han deaf patients who have been pre-excluded for mutations in common deafness genes GJB2, SLC26A4 and MT-RNR1. Non-synonymous variants have been filtered based on their minor allele frequencies in public databases and ethnically matched controls. Bi-allelic pathogenic mutations in eight deafness genes, OTOF, TRIOBP, ESPN, HARS2, CDH23, MYO7A, USH1C and TJP2, were identified in 10 patients, with 17 mutations identified in this study not being associated with deafness previously. For the rest 28 patients, possibly bi-allelic rare non-synonymous variants in an averaged 4.7 genes per patient were identified as candidate pathogenic causes for future analysis. Our study showed that WES may provide a unified platform for genetic testing of deafness and enables retro-analyzing when new causative genes are revealed.","- Label: Changed

- Reason:
  In Text A, the term ""deafness"" is used in the context of a medical condition that occurs alongside other familial syndrome features, without specific emphasis on its genetic roots or detailed investigation into its genetic components. Deafness is mentioned more passively as part of a broader array of conditions affecting a family with high levels of consanguinity.

  In Text B, ""deafness"" is deeply associated with genetic research characterized by next-generation sequencing technologies and specifically noted genetic mutations. It portrays deafness within the context of advanced genetic screening, targeting specific genes known to cause hearing loss, and a more active pursuit of understanding its genetic underpinnings.

  This shift from a general mention of deafness as part of a complex medical condition to a focused and detailed genetic investigation highlights a significant semantic drift. The understanding of deafness has become more nuanced and technologically informed, reflecting a deeper grasp on its genetic causes and a shift towards personalized genetic medicine."
8,Deafness,"In this study, we analysed the clinical and audiological features of 24 vestibular schwannoma patients presenting with sudden deafness who visited our hospital within 10 days after its onset. The relationships between the prognosis of hearing loss and the clinical and audiological features including the pure-tone average (PTA), the presence of dizziness and/or vertigo, the tumour size and the auditory brain stem response (ABR) findings were evaluated. Hearing recovery depended on the PTA and tumour size, but even a small tumour induced sudden deafness. Impaired hearing completely recovered in five our of 24 patients. ABR findings indicated that the aetiology of sudden deafness in the vestibular schwannoma patients might vary in each patient.","A cochlear schwannoma is a rare tumor that arises from the cochlear nerve. Clinically, a cochlear schwannoma mimics the clinical features of sudden deafness or Meniere's disease. We report a case of cochlear schwannoma that presented with sudden hearing loss, which was diagnosed with gadolinium-enhanced magnetic resonance imaging and removed using a transotic approach.","- Label: Unchanged
- Reason: In both Text A and Text B, the term ""deafness"" is used specifically to describe a condition characterized by a significant loss of hearing ability. Text A discusses the case of sudden deafness in patients with vestibular schwannoma, focusing on the clinical features and prognosis of hearing loss recovery. Text B reports on a case of cochlear schwannoma that presented with sudden hearing loss, diagnosed and treated surgically. The context in both texts refers to a medical condition involving an abrupt or severe reduction in hearing capability due to specific types of tumors, demonstrating that the usage and connotation of the word ""deafness"" in relation to its medical meaning regarding hearing loss have not changed significantly over time."
9,Deafness,"The clinical electrocochleography essentially allows the registration of the global action potential of the acoustic nerve. The use of acoustic stimulations with alternating polarity eliminates the cochlear microphonics. In severe deafness, where no action potential can be registered, even not with maximal acoustic impulses, it can be interesting to register the microphonic potentials. This can be done by using acoustic stimulations with the same polarity. If some microphonic potentials can be registered by this technique, one can assume that the ciliated cells are -- at least partially -- unaffected and that the cause of the deafmess in neurogenic. This test thus allows a primary differentiation between sensory and neural deafness. Some clinical cases illustrate this phenomenon.","Keratitis-ichthyosis-deafness (KID) syndrome is caused by mutations in the GJB2 gene encoding connexin 26, a component of transmembrane hemichannels which form gap junction channels, critical for cell-cell communication. Here, we report two patients from two distinct families with KID syndrome with the same GJB2 mutation (p.Asp50Asn); in both cases the mutation was de novo, as the parents depicted the wild-type allele only. The patients' cutaneous manifestations were strikingly different illustrating the wide spectrum of phenotype of these patients, even with the same GJB2 mutation. One of the patients was treated with acitretin with dramatic improvement in his skin findings, illustrating the role of oral acitretin in treatment of patients with KID syndrome. Collectively, these patients attest to the phenotypic spectrum of KID syndrome, with therapeutic perspective.","- Label: Unchanged
- Reason: In both texts, the target word ""deafness"" refers to the condition of lacking the ability to hear. In Text A, the term is used to discuss diagnostic practices pertaining to the differentiation between sensory and neural deafness through electrocochleography. It focuses on clinical testing to ascertain the type of deafness. In Text B, deafness is discussed in the context of KID syndrome, attributing it to genetic causes (mutations in the GJB2 gene). Despite the contrasting focuses on diagnosis in Text A (electrocochleographic techniques) and genetic factors in Text B, the inherent meaning of ""deafness"" as a state or condition of being unable to hear remains the same across both texts. The scenarios and details surrounding the term differ, but the central meaning of ""deafness"" as a lack of hearing ability is consistent, thus indicating no semantic drift."
