Index,targetWord,Sentence A,Sentence B
0,Dexterity,"Loss of sensory function is a severe impairment for the hand which loses a lot of its dexterity, becomes ""blind"" if not guided by sight and is susceptible to burns, wounds and infections. Nerve repair by sutures or grafts is the preeminent operation if the condition of the skin is good. When skin is damaged, various sensory flaps (both free microvascular and local pedicle) may be used. Island flaps from the pulp of another digit give inconsistent results. Sensory flaps from the back of the index finger to the thumb give a fair two-point discrimination. Free microvascular flaps from the pulp or the web of the hallux or from two or even three toes are safe and good operations which restore both perfect skin coverage and excellent sensory function with good two-point discrimination. The damage at the donor site is well tolerated. When previous operations have covered the digit or the hand by means of non-sensory skin, direct neurotization of this skin is possible. Research has been done in animals showing the formation of free endings inside the neurotized skin. Rehabilitation of the previously existing sensory corpuscles is even possible. Our series includes 12 island flaps from the pulp, 19 pedicle flaps from the dorsum, 17 homodigital reverse flow flaps, 38 different types of free neurovascular flaps from the foot and 3 direct sensory neurotization.","Brain lesions may disturb hand functioning in children with cerebral palsy (CP), making it difficult or even impossible for them to perform several manual activities. Most conventional treatments for hand dysfunction in CP assume that reducing the hand dysfunctions will improve the capacity to manage activities (i.e., manual ability, MA). The aim of this study was to investigate the directional relationships (direct and indirect pathways) through which hand skills influence MA in children with CP. A total of 136 children with CP (mean age: 10 years; range: 6-16 years; 35 quadriplegics, 24 diplegics, 77 hemiplegics) were assessed. Six hand skills were measured on both hands: touch-pressure detection (Semmes-Weinstein esthesiometer), stereognosis (Manual Form Perception Test), proprioception (passive mobilization of the metacarpophalangeal joints), grip strength (GS) (Jamar dynamometer), gross manual dexterity (GMD) (Box and Block Test), and fine finger dexterity (Purdue Pegboard Test). MA was measured with the ABILHAND-Kids questionnaire. Correlation coefficients were used to determine the linear associations between observed variables. A path analysis of structural equation modeling was applied to test different models of causal relationships among the observed variables. Purely sensory impairments did seem not to play a significant role in the capacity to perform manual activities. According to path analysis, GMD in both hands and stereognosis in the dominant hand were directly related to MA, whereas GS was indirectly related to MA through its relationship with GMD. However, one-third of the variance in MA measures could not be explained by hand skills. It can be concluded that MA is not simply the integration of hand skills in daily activities and should be treated per se, supporting activity-based interventions. "
1,Dexterity,"Neurophysiological and psychological tests were administered to 107 patients--48 men and 59 women--with a diagnosis of solvent poisoning after longstanding (mean 9.6 years for males and mean 7.6 years for females) occupational exposure. Electroencephalography (EEG) and a wide psychological test battery were applied in all cases, and electroneurographic measurements were performed in 77 subjects. Sixty-five percent of the patients showed an abnormal EEG, and excessive beta activity, not induced by drugs, was found in 54% of patients. At least one abnormally slow nerve conduction velocity (CV) was found in 48 out of 77 patients. The scores of Wechsler Adult Intelligence Scale (WAIS) subtests Digit Span (DSp) and Digit Symbol (DSy) among the men and scores of Similarities (Sim), Digit Symbol (DSy), Picture Completion (PC), and Block Design (BD) among the women were statistically significantly lower than in the Finnish standardization sample. Long duration of exposure was related to poor performance in the Santa Ana Dexterity test in both sexes, to poor visual memory among the men and to poor visuoconstructive intellectual tasks among the women. The background frequency in the EEG showed a correlation to the DSp test of WAIS and some relationship emerged also between the former and the BD, the Symmetry Drawing test, the Santa Ana Dexterity test, and the Mira test. Focal slow wave abnormalities were related to inaccurate hand movements in the psychomotor Mira test. Neurophysiological and psychological tests seem to reflect partly different aspects of neurologic effects and their combined use helps in the evaluation of hazards of solvent exposure.","  The hand is one of the most complex and important parts of the human body.
The dexterity provided by its multiple degrees of freedom enables us to perform
many of the tasks of daily living which involve grasping and manipulating
objects of interest. Contemporary prosthetic devices for people with
transradial amputations or wrist disarticulation vary in complexity, from
passive prosthetics to complex devices that are body or electrically driven.
One of the important challenges in developing smart prosthetic hands is to
create devices which are able to mimic all activities that a person might
perform and address the needs of a wide variety of users. The approach explored
here is to develop algorithms that permit a device to adapt its behavior to the
preferences of the operator through interactions with the wearer. This device
uses multiple sensing modalities including muscle activity from a myoelectric
armband, visual information from an on-board camera, tactile input through a
touchscreen interface, and speech input from an embedded microphone. Presented
within this paper are the design, software and controls of a platform used to
evaluate this architecture as well as results from experiments deigned to
quantify the performance.
"
2,Dexterity,"The aim of this study was to extend the understanding of Developmental Coordination Disorder (DCD) into adulthood. We recruited 19 adults aged between 18 and 65 who had received diagnoses of DCD or dyspraxia or who self-reported as having motor impairments consistent with a history of DCD, together with age- and gender-matched controls. Participants were given tests of manual dexterity, handwriting, construction, obstacle avoidance, dynamic balance, static balance, dual task performance, ball skills, reaction time, movement time and sequencing. As a group, adults with DCD performed more poorly than controls across all tasks. Slowness and variability of movement was a pervasive feature of their performance and many individuals had considerable problems with sequencing and with dual task performance. A discriminant function analysis conducted using six performance measures correctly classified participants as car drivers or non-drivers. Adults do retain motor difficulties and these can exclude them from important activities of daily living.","In recent decades, gaming technology has been accepted as a feasible method for complementing traditional clinical practice, especially in neurorehabilitation; however, the viability of using 3D Virtual Reality (VR) for the assessment of upper limb motor function has not been fully explored. For that purpose, we developed a VR-based version of the Box and Blocks Test (BBT), a clinical test for the assessment of manual dexterity, as an automated alternative to the classical procedure. Our VR-based BBT (VR-BBT) integrates the traditional BBT mechanics into gameplay using the Leap Motion Controller (LMC) to capture the user's hand motion and the Oculus Rift headset to provide a fully immersive experience. This paper focuses on evaluating the validity of our VR-BBT to reliably measure the manual dexterity in a sample of patients with Parkinson's Disease (PD). For this study, a group of twenty individuals in a mild to moderate stage of PD were recruited. Participants were asked to perform the physical BBT (once) and our proposed VR-BBT (twice) system, separately. Correlation analysis of collected data was carried out. Statistical analysis proved that the performance data collected by the VR-BBT significantly correlated with the conventional assessment of the BBT. The VR-BBT scores have shown a significant association with PD severity measured by the Hoehn and Yahr scale. This fact suggests that the VR-BBT could be used as a reliable indicator for health improvements in patients with PD. Finally, the VR-BBT system presented high usability and acceptability rated by clinicians and patients."
3,Dexterity,"The appropriate suspension system results in a safe and well functioning lower extremity prosthesis. Residual limb length, joint ligament stability, and limb volume determine suspension methods as does activity level, dexterity, success of previous suspension, and cosmetic requirements. The supracondylar suspension cuff, prosthetic sleeves, and gel liners with locking mechanisms generally are indicated for the average to long transtibial amputation level. Short limbs are better fitted with supracondylar and suprapatellar suspension. Waist belts generally are indicated for patients with new amputations or those with vascular compromise. Suction suspension is the most desirable form of transfemoral suspension and is recommended for most standard to long residual limbs. Roll on silicone liners with or without locking pins and the hyperbaric sock offer the patient systems that are easier to don yet still provide unencumbered suspension. The total elastic suspension belt offers excellent auxiliary suspension and can be applied to the prosthesis by the patient. Multiple factors and patient preference should be considered when prescribing suspension systems for lower extremity prostheses.","  We define sound and adequate denotational and operational semantics for the
stochastic lambda calculus. These two semantic approaches build on previous
work that used similar techniques to reason about higher-order probabilistic
programs, but for the first time admit an adequacy theorem relating the
operational and denotational views. This resolves the main issue left open in
(Bacci et al. 2018).
"
4,Dexterity,"Short-term effect of hand surgery on hand function in activities of daily life (dexterity) and pain were studied in 70 patients with rheumatoid arthritis. Only surgical interventions aimed at improvement of function and/or pain relief were included in the study. Patients were assessed before surgery and 6 and 12 months after surgery. Clinical change in the surgical group was observed in the number of painful and swollen joints, observed dexterity, and pain in the hand. Six months after surgery 74% of the patients showed positive clinical change in hand functioning and/or hand pain. Clinical effects remained stable between 6 and 12 months after surgical assessments. Both change in observed dexterity and pain had an independent impact on the patient's satisfaction with the results of the surgery.","Frailty is a geriatric syndrome defined by coexistence of unintentional weight loss, low physical reserve, or activity and is associated with adverse health events. Neuroimaging studies reported structural white matter changes in frail patients. In the current study, we hypothesized that clinical frailty is associated also with functional changes in motion-related cortical areas, that is, (pre-)supplementary motor areas (SMA, pre-SMA). We expected that observed functional changes are related to motor-cognitive test performance. We studied a clinical sample of 143 cognitively healthy patients ≥65 years presenting for elective surgery, enrolled in the BioCog prospective multicentric cohort study on postoperative cognitive disorders. Participants underwent preoperative resting-state functional magnetic resonance imaging, motor-cognitive testing, and assessment of Fried's modified frailty criteria. We analyzed functional connectivity associations with frailty and motor-cognitive test performance. Clinically robust patients (N = 60) showed higher connectivity in the SMA network compared to frail (N = 13) and prefrail (N = 70) patients. No changes were found in the pre-SMA network. SMA connectivity correlated with motor speed (Trail-Making-Test A) and manual dexterity (Grooved Pegboard Test). Our results suggest that diminished functional connectivity of the SMA is an early correlate of functional decline in the older adults . The SMA may serve as a potential treatment target in frailty."
5,Dexterity,"The objective of this study was to examine the structure/function relationship between in vivo cerebellar size and higher cognitive function in a sample of healthy young subjects. The design of the study involved correlation of in vivo cerebellar volume measurements with measures of general intelligence (WAIS-R V&P FSIQ, Vocabulary, Block Design, and Digit Span subtests), motor dexterity (Halstead-Reitan Finger Tapping), verbal (WMS Logical Memory), and visual (Rey-Osterrieth Figure) memory covaring for cerebrum size. A similar analysis was performed using left temporal lobe volumes as a control region. The sample consisted of 62 healthy subjects (30 females, 32 males) enrolled as controls at the MHCRC at the University of Iowa Hospitals and Clinics. This independent sample does not overlap with the groups studied in our previous report on the relationship between cerebellar and brain size and IQ. Cerebellar and total brain size were estimated through automatic, atlas-based volume measurements using MR images obtained with a T1-weighted three-dimensional SPGR sequence on a 1.5-T GE Signa scanner and locally developed software. Cerebellar volume significantly correlated with Finger Tapping (left hand: r = 0.218, p < 0.05; right hand: r = 0.211, p < 0.05) and with memory retention of complex narrative material (r = 0.27, p < 0.02). Cerebellar volume correlated with general intelligence in the expected direction (r = 0.19, p < 0.07). This study confirms previous work indicating that the cerebellum may make a contribution to several aspects of cognition. Cerebellar volume significantly correlated with the ability to retain already encoded information in the verbal domain and with fine motor dexterity. Cerebellar volume positively correlated with general but the relationship did not reach statistical significance. The structural/functional relationship between cerebellum and verbal memory abilities is consistent with evolutionary theory for the phylogenetical increase in the size of the cerebellum.","During laparoscopic appendectomy (LA), the standard technique in securing of the base of the appendix is by endoloop ligatures. However, application of the endoloop demands dexterity and a short training, while hem-o-lok clips may be more advantageous to use due to their simplicity of application and low cost. The objective of this study was to evaluate the technical feasibility and eventual advantages of this way of securing of the base of the appendix."
6,Dexterity,"We describe a patient who has been complaining of brief jerk-like, rhythmic, involuntary movements involving the second digit of the left hand for the last three months. These involuntary jerks produced an adduction movement of the second digit and were unaffected by peripheral sensory stimuli. In addition, the patient experienced loss of dexterity in the left hand. On examination the patient showed hypotrophy of the first dorsal interosseous (FDI) muscle of the left hand and a dissociated sensory loss involving the C8-T1 dermatomes. Magnetic resonance imaging of the brain and spinal cord revealed a tonsilar hemiation characteristic of the Chiari I malformation associated with a syrinx extending from C4 to D5 that did not communicate with the fourth ventricle. The electrophysiological evaluation indicated the presence of a focal myoclonus of spinal origin that is likely to be caused by the syrinx.","Immersive Virtual Reality (VR) systems allow for highly repetitive tasks to be performed within a virtual environment that increases practice in home environments. VR can increase access to rehabilitation by reducing access barriers. However, rehabilitation outcomes between immersive VR systems and conventional physical rehabilitation are not well understood. The purpose of this case study was to assess the use of a custom clinically based VR simulation for testing gross hand dexterity with an individual with chronic stroke."
7,Dexterity,"The neurobehavioral effects of lead (organic and inorganic) and organic solvents were compared in 386 U.S. workers (52 reference, 190 lead, and 144 solvent workers). The association between neurobehavioral test performance and duration of exposure to lead or solvents was also examined and compared. The neurobehavioral test battery consisted of examiner and computer-administered neurobehavioral tests, a test of olfactory function, and questionnaires that assessed neuropsychiatric symptoms. Adjusted mean differences on the neurobehavioral test scores were estimated by comparing the exposed group to the referent group using linear regression and adjusting for premorbid intellectual ability, age, and race. Both lead and solvents were associated with diminished neurobehavioral performance in all neurobehavioral areas tested. Specifically, while lead and solvent exposure had the same magnitude of adverse effects on tests of manual dexterity, lead exposure was associated with greater adverse effects on memory and learning tests but with less adverse effects on executive/motor tests and on a test of olfaction than solvent exposure. An elevated number of neuropsychiatric symptoms was reported by 7% of the referent group, 43% of the lead group, and 15% of the solvent group. For exposure duration of < or = 10 years, more neurobehavioral decrements were found in the solvent group relative to the lead group. However, for exposure duration of > or = 18 years, the lead group showed more decrements than the solvent group. Overall, these data suggest differences in neurobehavioral functioning between the lead (organic and inorganic) and solvent exposed workers examined in this study.","Computerized interfaces are able to represent 3D immersive simulations. Most of them make use of joystick, mouse, gloves, or grasp pressure transducers. Those have the drawback of 'filtering' the user interaction and/or de-locate the touch with respect to the visual stimulus. To overcome this we developed dexterity rehabilitation games on a novel touch interface that measures also force. The system allows dexterity training through 'direct' manipulation of virtual objects in 3D. Two dimensions via the touch screen, the third by the force channel. Tactile feedback is provided with a vibration device mounted on the screen back."
8,Dexterity,"Potentially interactive effects of hypertension and age on the performance of neuropsychological and information processing tests were examined in 123 untreated hypertensive and 50 normotensive men. After covarying education, average alcohol consumption, trait anxiety, and depression scores, results indicated an interaction of age and hypertension. Young hypertensive men (23-40 years) scored significantly worse than young normotensive men on tests of attention/executive function and working memory; middle-aged hypertensive (41-56 years) and normotensive participants were not distinguished by any measures. Hypertensive men performed significantly more poorly than normotensive men on tests of manual dexterity. Results suggest that neuropsychological sequelae of hypertension are more pronounced in young than in middle-aged hypertensive individuals and are independent of various demographic, psychosocial, and alcohol-related factors.","The combination of large mastoid processes and clavicles is unique to humans, but the biomechanical and evolutionary significance of their special configuration is poorly understood. As part of the newly conceptualized shoulder suspension apparatus, the mastoid processes and clavicles are shaped by forces exerted by the musculo-fascial components of the cleidomastoid and clavotrapezius muscles as they suspend the shoulders from the head. Because both skeletal elements develop during infancy in tandem with the attainment of an upright posture, increased manual dexterity, and the capacity for walking, we hypothesized that the same forces would have shaped them as the shoulder suspension apparatus evolved in ancestral humans in tandem with an upright posture, increased manual dexterity, and bipedality with swinging arms. Because the shoulder suspension apparatus is subjected to asymmetrical forces from handedness, we predicted that its skeletal features would grow asymmetrically. We used this prediction to test our hypothesis in a natural experiment to correlate the size of the skeletal features with the forces exerted on them. We (1) measured biomechanically relevant bony features within the shoulder suspension apparatus in 101 male human specimens (62 of known handedness); and (2) modeled and analyzed the forces within the shoulder suspension apparatus from X-ray CT data. We identified eight right-handed characters and demonstrated the causal relationship between these right-handed characters and the magnitude and direction of forces acting on them. Our data suggest that the presence of the shoulder suspension apparatus in humans was a necessary precondition for human bipedality."
9,Dexterity,"The strong right hand preference in humans remains a riddle; no lateralized behavior other than fine finger dexterity relates to it. The relation between handedness and language dominance may be far weaker than currently judged; after all, both right-handers and non-right-handers utilize the left brain for speech. There is, however, a lateralized motor preference in animals, turning behavior, that is strongly associated with hemispheric dopamine (DA) asymmetries. Turning consistently occurs towards the side with less DA. The authors tested 69 right-handers and 24 non-right-handers with a device recording spontaneous turning behavior for 20 hr within 3 days. Findings indicate that right-handers preferred left-sided turning and non-right-handers preferred right-sided turning. This result suggests a link between handedness and DA asymmetries.","  Sgr A* exhibits flares in the near-infrared and X-ray bands, with the
luminosity in these bands increasing by factors of $10-100$ for $\approx 60$
minutes. One of the models proposed to explain these flares is synchrotron
emission of non-thermal particles accelerated by magnetic reconnection events
in the accretion flow. We use the results from PIC simulations of magnetic
reconnection to post-process 3D two-temperature GRMHD simulations of a
magnetically arrested disc (MAD). We identify current sheets, retrieve their
properties, estimate their potential to accelerate non-thermal particles and
compute the expected non-thermal synchrotron emission. We find that the flux
eruptions of MADs can provide suitable conditions for accelerating non-thermal
particles to energies $\gamma_e \lesssim 10^6$ and producing simultaneous X-ray
and near-infrared flares. For a suitable choice of current-sheet parameters and
a simpified synchrotron cooling prescription, the model can simultaneously
reproduce the quiescent and flaring X-ray luminosities as well as the X-ray
spectral shape. While the near-infrared flares are mainly due to an increase in
the temperature near the black hole during the MAD flux eruptions, the X-ray
emission comes from narrow current sheets bordering highly magnetized,
low-density regions near the black hole and equatorial current sheets where the
flux on the black hole reconnects. As a result, not all infrared flares are
accompanied by X-ray ones. The non-thermal flaring emission can extend to very
hard ($\lesssim 100$ keV) X-ray energies.
"
